	r_TFm_PYPL_neg_low1_mult_28	TFm_PYPL_neg_low1_mult_64	TFm_PYPL_neg_low1_mult_64_per	TFm_PYPL_neg_low1_mult_128	TFm_PYPL_neg_low1_mult_128_per	TFm_PYPL_neg_low1_mult_conv2	TFm_PYPL_neg_low1_mult_conv2_per	TFm_PYPL_neg_low1_mult_conv	TFm_PYPL_neg_low1_mult_conv_per	TFm_PYPL_neg_low1__simp_cordo	TFm_PYPL_neg_low1__simp_cordo_per	r_TFm_PYPL_neg_low1_mult_linear	r_TFm_PYPL_neg_low1_mult_dense2	TFm_PYPL_neg_low1_mult_lstm	TFm_PYPL_neg_low1_mult_lstm_per	TFm_PYPL_neg_low1__mult_gru	TFm_PYPL_neg_low1__mult_gru_per
acc_per		91.88	-1.0	92.85	-1.0	78.62	-1.0	97.40	-1.0	84.93	-1.0	-1	-1	95.91	-1.0	91.62	-1.0
loss		0.23	-1.0	0.19	-1.0	0.93	-1.0	0.09	-1.0	0.37	-1.0	-1	-1	0.13	-1.0	0.23	-1.0
epochs		8	-1.0	9	-1.0	11	-1.0	8	-1.0	20	-1.0	-1	-1	17	-1.0	8	-1.0
df_test_%		20.2	-1.0	25.8	-1.0	16.7	-1.0	15.5	-1.0	8.6	-1.0	-1	-1	25.8	-1.0	4.1	-1.0
positives		14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	-1	-1	14	-1.0	14	-1.0
count		265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	-1	-1	265.0	-1.0	265.0	-1.0
mean		0.5124	-1.0	0.3055	-1.0	0.9135	-1.0	0.6443	-1.0	0.4639	-1.0	-1	-1	0.3022	-1.0	0.4027	-1.0
std		0.1423	-1.0	0.2003	-1.0	0.1336	-1.0	0.1635	-1.0	0.3836	-1.0	-1	-1	0.3826	-1.0	0.1766	-1.0
min		0.1894	-1.0	0.0141	-1.0	0.5327	-1.0	0.291	-1.0	0.0089	-1.0	-1	-1	0.0	-1.0	0.0755	-1.0
25%		0.3953	7.07	0.1412	6.57	0.8246	7.07	0.4696	7.04	0.0142	6.53	-1	-1	0.0	5.28	0.1598	7.07
50%		0.5761	9.09	0.2808	8.27	0.9917	6.98	0.7188	7.52	0.7331	9.09	-1	-1	0.0231	9.09	0.5059	6.02
60%		0.5907	9.43	0.3242	9.43	0.993	8.41	0.7383	8.49	0.7892	9.43	-1	-1	0.2315	10.38	0.5101	5.66
70%		0.6069	11.25	0.3786	11.25	0.9938	8.97	0.7564	10.0	0.8206	10.0	-1	-1	0.5509	11.25	0.5133	7.5
75%		0.6149	11.94	0.4152	13.64	0.9942	9.23	0.7649	10.45	0.8308	8.96	-1	-1	0.6663	13.43	0.516	8.96
80%		0.6227	12.96	0.4623	13.21	0.9947	10.91	0.7773	13.21	0.8377	7.69	-1	-1	0.7955	15.09	0.52	9.43
85%		0.6305	15.0	0.4985	17.5	0.9953	12.2	0.7843	12.5	0.8413	10.0	-1	-1	0.8578	17.5	0.5215	2.5
86%		0.6328	15.79	0.5112	18.92	0.9956	10.53	0.7872	13.51	0.8427	10.81	-1	-1	0.889	18.92	0.5219	2.7
87%		0.6381	14.29	0.5245	20.0	0.9956	10.53	0.7896	14.29	0.8441	8.57	-1	-1	0.9178	20.0	0.5226	2.86
88%		0.64	15.62	0.5301	21.88	0.9958	13.79	0.7928	15.62	0.8445	9.38	-1	-1	0.9365	21.88	0.5237	3.03
89%		0.6409	17.24	0.5483	24.14	0.9958	13.79	0.7958	16.67	0.8448	6.9	-1	-1	0.9467	23.33	0.5247	3.45
90%		0.6422	18.52	0.5835	25.93	0.9959	14.81	0.7971	14.81	0.8456	7.41	-1	-1	0.9584	25.93	0.5252	3.7
91%		0.6449	20.83	0.6246	29.17	0.9961	16.67	0.8	16.67	0.8462	8.0	-1	-1	0.9631	25.0	0.5268	4.17
92%		0.647	22.73	0.6503	27.27	0.9963	20.0	0.8032	13.64	0.8468	9.09	-1	-1	0.9672	27.27	0.5276	4.76
93%		0.6485	26.32	0.6566	26.32	0.9964	21.05	0.8063	15.79	0.8478	10.53	-1	-1	0.9783	31.58	0.5281	5.26
94%		0.6512	31.25	0.6936	18.75	0.9966	17.65	0.8092	12.5	0.8487	12.5	-1	-1	0.9821	25.0	0.5289	6.25
95%		0.6552	35.71	0.7094	21.43	0.9968	20.0	0.8125	14.29	0.8495	15.38	-1	-1	0.9834	30.77	0.5299	7.14
96%		0.6631	36.36	0.7275	18.18	0.9969	30.0	0.8154	18.18	0.8504	18.18	-1	-1	0.9884	27.27	0.5307	9.09
97%		0.6676	50.0	0.7608	25.0	0.997	37.5	0.821	12.5	0.852	12.5	-1	-1	0.9914	22.22	0.5335	12.5
98%		0.6809	50.0	0.7992	16.67	0.9973	50.0	0.8306	16.67	0.8527	16.67	-1	-1	0.9921	33.33	0.5351	16.67
max		0.7103	-1.0	0.9734	-1.0	0.9978	-1.0	0.8963	-1.0	0.8554	-1.0	-1	-1	0.9959	-1.0	0.5769	-1.0
