	TFm_PYPL_neg_reg4_mult_28	TFm_PYPL_neg_reg4_mult_28_per	TFm_PYPL_neg_reg4_mult_64	TFm_PYPL_neg_reg4_mult_64_per	TFm_PYPL_neg_reg4_mult_128	TFm_PYPL_neg_reg4_mult_128_per	TFm_PYPL_neg_reg4_mult_conv2	TFm_PYPL_neg_reg4_mult_conv2_per	TFm_PYPL_neg_reg4_mult_conv	TFm_PYPL_neg_reg4_mult_conv_per	TFm_PYPL_neg_reg4__simp_cordo	TFm_PYPL_neg_reg4__simp_cordo_per	TFm_PYPL_neg_reg4_mult_linear	TFm_PYPL_neg_reg4_mult_linear_per	TFm_PYPL_neg_reg4_mult_dense2	TFm_PYPL_neg_reg4_mult_dense2_per	TFm_PYPL_neg_reg4_mult_lstm	TFm_PYPL_neg_reg4_mult_lstm_per	TFm_PYPL_neg_reg4__mult_gru	TFm_PYPL_neg_reg4__mult_gru_per
acc_per	82.46	-1.0	89.09	-1.0	92.77	-1.0	87.06	-1.0	94.42	-1.0	78.25	-1.0	75.30	-1.0	79.57	-1.0	93.89	-1.0	91.00	-1.0
loss	0.41	-1.0	0.29	-1.0	0.18	-1.0	0.45	-1.0	0.17	-1.0	0.49	-1.0	0.49	-1.0	0.44	-1.0	0.17	-1.0	0.23	-1.0
epochs	10	-1.0	9	-1.0	9	-1.0	18	-1.0	9	-1.0	9	-1.0	12	-1.0	8	-1.0	12	-1.0	11	-1.0
df_test_%	13.0	-1.0	24.4	-1.0	23.8	-1.0	19.8	-1.0	11.2	-1.0	13.6	-1.0	17.0	-1.0	11.2	-1.0	28.0	-1.0	22.7	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	270.0	-1.0	270.0	-1.0	270.0	-1.0	270.0	-1.0	270.0	-1.0	270.0	-1.0	270.0	-1.0	270.0	-1.0	270.0	-1.0	270.0	-1.0
mean	0.4243	-1.0	0.4659	-1.0	0.425	-1.0	0.8829	-1.0	0.4883	-1.0	0.4847	-1.0	0.5615	-1.0	0.4753	-1.0	0.3056	-1.0	0.4193	-1.0
std	0.1765	-1.0	0.2548	-1.0	0.2529	-1.0	0.2108	-1.0	0.2036	-1.0	0.2127	-1.0	0.2666	-1.0	0.3095	-1.0	0.3225	-1.0	0.3772	-1.0
min	0.1035	-1.0	0.039	-1.0	0.0254	-1.0	0.1955	-1.0	0.1008	-1.0	0.1531	-1.0	0.0112	-1.0	0.0002	-1.0	0.0	-1.0	0.0051	-1.0
25%	0.2597	5.45	0.1824	5.45	0.2016	5.94	0.871	5.94	0.3167	5.45	0.166	5.45	0.2658	4.95	0.1331	5.45	0.0008	5.94	0.0174	5.91
50%	0.4603	5.93	0.5178	8.15	0.3988	8.15	0.9975	7.41	0.4907	8.15	0.6004	6.67	0.6456	7.41	0.5417	7.41	0.1603	8.15	0.3946	8.89
60%	0.4989	7.41	0.5736	9.26	0.4943	10.19	0.9988	9.26	0.5491	9.26	0.6168	6.48	0.7035	7.41	0.5873	8.33	0.3509	10.19	0.5762	11.21
70%	0.5364	8.64	0.6187	9.88	0.5566	12.35	0.9993	11.9	0.6092	9.88	0.6344	6.17	0.7568	8.64	0.6375	8.64	0.5235	13.58	0.7505	13.58
75%	0.5546	8.82	0.6552	10.29	0.6258	14.71	0.9995	14.49	0.645	10.29	0.6416	7.35	0.7731	8.82	0.6717	8.82	0.6064	16.18	0.8184	14.71
80%	0.5708	11.11	0.6972	12.96	0.684	14.81	0.9997	21.28	0.6714	11.11	0.6483	9.26	0.8047	9.26	0.7204	11.11	0.6477	20.37	0.8589	18.52
85%	0.5979	14.63	0.7428	17.07	0.7342	19.51	0.9997	21.28	0.6996	14.63	0.654	9.76	0.832	12.2	0.8034	9.76	0.7377	21.95	0.9007	19.51
86%	0.5999	13.16	0.7625	18.42	0.7485	21.05	0.9998	17.24	0.7093	15.79	0.6566	10.53	0.8359	13.16	0.8199	10.53	0.7504	21.05	0.906	21.05
87%	0.6062	14.29	0.7728	20.0	0.7606	22.86	0.9998	17.24	0.7218	17.14	0.6573	11.43	0.8388	14.29	0.8371	11.43	0.7783	22.22	0.9156	20.0
88%	0.6202	12.12	0.7861	21.21	0.7732	24.24	0.9998	17.24	0.7293	15.15	0.6642	12.12	0.8472	15.15	0.8472	12.12	0.791	24.24	0.9205	21.21
89%	0.6275	13.33	0.7998	20.0	0.778	23.33	0.9998	17.24	0.7481	13.33	0.6652	13.33	0.8523	16.67	0.8837	13.33	0.7949	26.67	0.9317	20.0
90%	0.6397	11.11	0.8081	22.22	0.7884	22.22	0.9998	17.24	0.7815	11.11	0.6673	14.81	0.8591	14.81	0.8942	15.38	0.8121	25.93	0.9363	22.22
91%	0.6454	12.0	0.8114	24.0	0.802	24.0	0.9998	17.24	0.7969	8.0	0.6719	12.0	0.8679	16.0	0.9066	12.0	0.8138	28.0	0.9383	24.0
92%	0.6589	13.64	0.8242	27.27	0.823	22.73	0.9999	25.0	0.8116	9.09	0.6741	13.64	0.8702	18.18	0.9175	9.09	0.827	31.82	0.9422	22.73
93%	0.6625	15.79	0.8383	31.58	0.8319	26.32	0.9999	25.0	0.8175	10.53	0.6752	15.79	0.8877	21.05	0.9244	5.26	0.8447	31.58	0.9488	26.32
94%	0.6764	17.65	0.842	35.29	0.843	29.41	0.9999	25.0	0.8279	11.76	0.6762	17.65	0.9079	17.65	0.9298	5.88	0.8706	29.41	0.9502	29.41
95%	0.6885	14.29	0.8488	35.71	0.8496	21.43	0.9999	25.0	0.8342	14.29	0.6806	14.29	0.9152	21.43	0.9489	7.14	0.8856	35.71	0.9544	28.57
96%	0.6997	18.18	0.8541	45.45	0.868	27.27	0.9999	25.0	0.8433	18.18	0.6886	9.09	0.9268	27.27	0.9654	9.09	0.9094	36.36	0.9596	36.36
97%	0.7557	11.11	0.8587	44.44	0.8749	22.22	0.9999	25.0	0.852	22.22	0.6947	11.11	0.9333	33.33	0.9715	11.11	0.9151	44.44	0.9604	37.5
98%	0.7612	16.67	0.87	50.0	0.8905	33.33	0.9999	25.0	0.8681	16.67	0.6987	16.67	0.9377	16.67	0.9851	16.67	0.9435	66.67	0.9641	50.0
max	0.7869	-1.0	0.9038	-1.0	0.9674	-1.0	1.0	-1.0	0.912	-1.0	0.7046	-1.0	0.9705	-1.0	0.993	-1.0	0.9674	-1.0	0.9704	-1.0
