	TFm_PYPL_pos_reg4_mult_28	TFm_PYPL_pos_reg4_mult_28_per	TFm_PYPL_pos_reg4_mult_64	TFm_PYPL_pos_reg4_mult_64_per	TFm_PYPL_pos_reg4_mult_128	TFm_PYPL_pos_reg4_mult_128_per	TFm_PYPL_pos_reg4_mult_conv2	TFm_PYPL_pos_reg4_mult_conv2_per	r_TFm_PYPL_pos_reg4_mult_conv	r_TFm_PYPL_pos_reg4__simp_cordo	r_TFm_PYPL_pos_reg4_mult_linear	r_TFm_PYPL_pos_reg4_mult_dense2	TFm_PYPL_pos_reg4_mult_lstm	TFm_PYPL_pos_reg4_mult_lstm_per	TFm_PYPL_pos_reg4__mult_gru	TFm_PYPL_pos_reg4__mult_gru_per
acc_per	87.72	-1.0	95.59	-1.0	96.07	-1.0	75.37	-1.0	-1	-1	-1	-1	97.63	-1.0	90.37	-1.0
loss	0.32	-1.0	0.12	-1.0	0.10	-1.0	0.74	-1.0	-1	-1	-1	-1	0.08	-1.0	0.23	-1.0
epochs	11	-1.0	20	-1.0	15	-1.0	8	-1.0	-1	-1	-1	-1	16	-1.0	10	-1.0
df_test_%	12.6	-1.0	32.8	-1.0	24.0	-1.0	14.4	-1.0	-1	-1	-1	-1	20.1	-1.0	20.1	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	15	-1.0	-1	-1	-1	-1	15	-1.0	15	-1.0
count	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	-1	-1	-1	-1	265.0	-1.0	265.0	-1.0
mean	0.4709	-1.0	0.3998	-1.0	0.369	-1.0	0.8902	-1.0	-1	-1	-1	-1	0.3803	-1.0	0.4993	-1.0
std	0.1711	-1.0	0.3278	-1.0	0.3419	-1.0	0.0332	-1.0	-1	-1	-1	-1	0.4179	-1.0	0.2648	-1.0
min	0.0942	-1.0	0.0008	-1.0	0.0003	-1.0	0.815	-1.0	-1	-1	-1	-1	0.0	-1.0	0.0382	-1.0
25%	0.3555	7.04	0.0916	7.54	0.0643	7.54	0.8587	6.06	-1	-1	-1	-1	0.0036	7.58	0.257	6.53
50%	0.4718	9.85	0.3485	9.77	0.2611	10.61	0.9044	7.52	-1	-1	-1	-1	0.1171	9.77	0.5677	9.85
60%	0.5229	10.38	0.4665	12.26	0.3882	13.21	0.9067	6.54	-1	-1	-1	-1	0.3745	11.32	0.6319	12.26
70%	0.5621	11.25	0.5959	16.25	0.5773	15.0	0.9102	7.5	-1	-1	-1	-1	0.8101	15.0	0.6715	13.75
75%	0.5743	8.96	0.6544	17.91	0.6455	18.18	0.9123	8.82	-1	-1	-1	-1	0.9032	16.67	0.6928	16.42
80%	0.5963	11.32	0.753	22.64	0.7376	20.75	0.9141	9.43	-1	-1	-1	-1	0.9456	20.75	0.7158	15.09
85%	0.6538	10.0	0.8723	30.0	0.8503	25.0	0.9161	12.5	-1	-1	-1	-1	0.9694	22.5	0.7662	17.5
86%	0.6692	10.81	0.8847	27.03	0.8817	24.32	0.9166	10.81	-1	-1	-1	-1	0.9721	24.32	0.7768	18.92
87%	0.6813	11.43	0.8942	28.57	0.8911	22.86	0.9171	11.43	-1	-1	-1	-1	0.9824	22.86	0.8041	14.29
88%	0.6873	12.5	0.9002	31.25	0.9033	21.88	0.9174	12.5	-1	-1	-1	-1	0.9846	18.75	0.8091	15.62
89%	0.6977	10.0	0.9117	30.0	0.9281	23.33	0.9192	13.79	-1	-1	-1	-1	0.9862	20.0	0.8123	16.67
90%	0.704	11.11	0.9188	33.33	0.9305	25.93	0.9222	14.81	-1	-1	-1	-1	0.9901	22.22	0.8308	18.52
91%	0.7139	12.5	0.931	33.33	0.9539	29.17	0.9251	16.67	-1	-1	-1	-1	0.9919	20.83	0.8472	20.83
92%	0.7259	13.64	0.9382	31.82	0.9681	22.73	0.9266	18.18	-1	-1	-1	-1	0.9941	22.73	0.8606	22.73
93%	0.7438	15.79	0.951	36.84	0.9752	21.05	0.9286	10.53	-1	-1	-1	-1	0.9956	15.79	0.8662	26.32
94%	0.7523	18.75	0.9528	37.5	0.9807	25.0	0.9301	12.5	-1	-1	-1	-1	0.9965	17.65	0.8702	31.25
95%	0.7752	21.43	0.955	42.86	0.9821	28.57	0.931	14.29	-1	-1	-1	-1	0.9972	21.43	0.8785	28.57
96%	0.7843	18.18	0.964	45.45	0.9856	36.36	0.9337	20.0	-1	-1	-1	-1	0.998	18.18	0.9018	27.27
97%	0.7952	12.5	0.9714	50.0	0.9897	50.0	0.9342	25.0	-1	-1	-1	-1	0.9991	12.5	0.9432	37.5
98%	0.8129	16.67	0.977	50.0	0.9926	50.0	0.9359	28.57	-1	-1	-1	-1	0.9994	16.67	0.9541	50.0
max	0.8618	-1.0	0.9951	-1.0	0.9994	-1.0	0.9415	-1.0	-1	-1	-1	-1	0.9999	-1.0	0.9821	-1.0
