	TFm_UBER_neg_reg4_mult_28	TFm_UBER_neg_reg4_mult_28_per	TFm_UBER_neg_reg4_mult_64	TFm_UBER_neg_reg4_mult_64_per	TFm_UBER_neg_reg4_mult_128	TFm_UBER_neg_reg4_mult_128_per	TFm_UBER_neg_reg4_mult_conv2	TFm_UBER_neg_reg4_mult_conv2_per	TFm_UBER_neg_reg4_mult_conv	TFm_UBER_neg_reg4_mult_conv_per	TFm_UBER_neg_reg4__simp_cordo	TFm_UBER_neg_reg4__simp_cordo_per	TFm_UBER_neg_reg4_mult_linear	TFm_UBER_neg_reg4_mult_linear_per	TFm_UBER_neg_reg4_mult_dense2	TFm_UBER_neg_reg4_mult_dense2_per	TFm_UBER_neg_reg4_mult_lstm	TFm_UBER_neg_reg4_mult_lstm_per	TFm_UBER_neg_reg4__mult_gru	TFm_UBER_neg_reg4__mult_gru_per
acc_per	84.76	-1.0	91.12	-1.0	93.50	-1.0	87.33	-1.0	97.15	-1.0	84.35	-1.0	73.10	-1.0	86.99	-1.0	93.29	-1.0	94.85	-1.0
loss	0.40	-1.0	0.25	-1.0	0.18	-1.0	0.35	-1.0	0.11	-1.0	0.39	-1.0	0.54	-1.0	0.32	-1.0	0.22	-1.0	0.15	-1.0
epochs	10	-1.0	12	-1.0	8	-1.0	10	-1.0	10	-1.0	20	-1.0	17	-1.0	8	-1.0	9	-1.0	16	-1.0
df_test_%	16.1	-1.0	24.1	-1.0	12.1	-1.0	15.8	-1.0	10.8	-1.0	8.8	-1.0	9.7	-1.0	8.0	-1.0	12.1	-1.0	32.2	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0
count	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0
mean	0.5601	-1.0	0.4665	-1.0	0.509	-1.0	0.814	-1.0	0.6636	-1.0	0.6708	-1.0	0.6602	-1.0	0.6737	-1.0	0.7561	-1.0	0.5608	-1.0
std	0.1266	-1.0	0.2278	-1.0	0.1211	-1.0	0.0679	-1.0	0.201	-1.0	0.1943	-1.0	0.2118	-1.0	0.1057	-1.0	0.1786	-1.0	0.3907	-1.0
min	0.1847	-1.0	0.0429	-1.0	0.1451	-1.0	0.5981	-1.0	0.078	-1.0	0.0276	-1.0	0.1516	-1.0	0.4734	-1.0	0.1487	-1.0	0.0006	-1.0
25%	0.4813	6.53	0.2943	7.07	0.4172	7.07	0.767	7.04	0.5216	6.06	0.6353	5.05	0.5092	5.56	0.5983	4.52	0.6517	7.54	0.087	7.58
50%	0.5627	6.82	0.4648	9.02	0.5027	6.82	0.8188	7.58	0.6844	6.82	0.7587	6.82	0.6886	4.58	0.6505	4.51	0.7975	8.27	0.7375	10.61
60%	0.5904	8.49	0.5404	10.38	0.533	7.55	0.8367	7.55	0.7485	6.6	0.778	5.66	0.7636	4.72	0.6759	4.72	0.8226	9.43	0.8369	13.21
70%	0.6373	6.25	0.6053	10.0	0.5705	8.75	0.8523	10.0	0.8061	8.75	0.7898	6.25	0.8172	6.25	0.7067	5.0	0.8852	10.0	0.9019	17.5
75%	0.6506	7.46	0.65	10.45	0.5963	10.61	0.8605	10.61	0.8297	10.61	0.7947	7.58	0.8405	4.55	0.7225	6.06	0.904	10.61	0.9258	19.7
80%	0.6677	9.26	0.6834	13.21	0.6206	13.21	0.8719	12.96	0.8573	9.43	0.7992	7.69	0.862	5.66	0.7527	7.55	0.9216	9.43	0.9474	22.64
85%	0.6802	12.5	0.7209	17.5	0.6437	12.5	0.8866	17.5	0.8753	12.5	0.8029	10.0	0.8869	7.5	0.7892	7.5	0.9345	10.0	0.9571	25.0
