	TFm_UBER_pos_good9_mult_28	TFm_UBER_pos_good9_mult_28_per	TFm_UBER_pos_good9_mult_64	TFm_UBER_pos_good9_mult_64_per	TFm_UBER_pos_good9_mult_128	TFm_UBER_pos_good9_mult_128_per	TFm_UBER_pos_good9_mult_conv2	TFm_UBER_pos_good9_mult_conv2_per	TFm_UBER_pos_good9_mult_conv	TFm_UBER_pos_good9_mult_conv_per	TFm_UBER_pos_good9__simp_cordo	TFm_UBER_pos_good9__simp_cordo_per	TFm_UBER_pos_good9_mult_linear	TFm_UBER_pos_good9_mult_linear_per	TFm_UBER_pos_good9_mult_dense2	TFm_UBER_pos_good9_mult_dense2_per	TFm_UBER_pos_good9_mult_lstm	TFm_UBER_pos_good9_mult_lstm_per	TFm_UBER_pos_good9__mult_gru	TFm_UBER_pos_good9__mult_gru_per
acc_per	72.89	-1.0	87.13	-1.0	87.32	-1.0	75.29	-1.0	82.96	-1.0	71.72	-1.0	65.41	-1.0	87.45	-1.0	91.22	-1.0	80.82	-1.0
loss	0.53	-1.0	0.31	-1.0	0.30	-1.0	0.51	-1.0	0.38	-1.0	0.57	-1.0	0.62	-1.0	0.29	-1.0	0.21	-1.0	0.42	-1.0
epochs	15	-1.0	20	-1.0	12	-1.0	8	-1.0	11	-1.0	26	-1.0	9	-1.0	15	-1.0	20	-1.0	9	-1.0
df_test_%	14.0	-1.0	18.8	-1.0	18.4	-1.0	11.5	-1.0	15.5	-1.0	12.7	-1.0	11.7	-1.0	20.2	-1.0	19.2	-1.0	16.6	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0
mean	0.5566	-1.0	0.4873	-1.0	0.5333	-1.0	0.7908	-1.0	0.4646	-1.0	0.592	-1.0	0.632	-1.0	0.5851	-1.0	0.3471	-1.0	0.6625	-1.0
std	0.1581	-1.0	0.255	-1.0	0.2153	-1.0	0.0447	-1.0	0.2063	-1.0	0.2046	-1.0	0.1425	-1.0	0.3623	-1.0	0.3934	-1.0	0.138	-1.0
min	0.0661	-1.0	0.0027	-1.0	0.0085	-1.0	0.7172	-1.0	0.0884	-1.0	0.1255	-1.0	0.2739	-1.0	0.0	-1.0	0.0	-1.0	0.2949	-1.0
25%	0.4489	5.31	0.2927	5.31	0.3808	5.31	0.7591	3.86	0.3052	5.31	0.462	5.31	0.5916	5.31	0.1789	5.31	0.0006	5.29	0.5704	5.31
50%	0.5572	7.97	0.4886	7.25	0.5293	7.97	0.7826	5.07	0.4444	7.97	0.6794	7.25	0.6639	5.8	0.7621	7.25	0.0776	7.25	0.6972	7.97
60%	0.5851	9.91	0.5785	9.09	0.6053	9.09	0.7896	6.31	0.5214	9.01	0.7214	7.21	0.6908	5.41	0.8281	7.27	0.3975	7.27	0.7232	9.91
70%	0.6188	13.25	0.6597	10.84	0.6733	10.84	0.803	4.82	0.584	9.64	0.7479	7.23	0.7125	6.02	0.8671	7.23	0.675	8.43	0.7549	9.64
75%	0.6553	14.49	0.6877	13.04	0.7029	11.59	0.8086	5.8	0.6141	11.59	0.7553	7.25	0.7263	7.14	0.8856	8.7	0.8142	8.7	0.7705	10.14
80%	0.7024	14.29	0.7219	10.91	0.7458	12.5	0.8244	7.14	0.6501	12.5	0.7688	8.93	0.7378	7.14	0.9018	10.91	0.8574	10.71	0.7847	10.91
85%	0.7191	14.29	0.7895	14.29	0.7617	11.9	0.831	9.76	0.6917	9.52	0.7769	9.52	0.7553	9.52	0.9145	14.29	0.9151	11.9	0.8058	11.9
86%	0.7305	12.82	0.7974	15.38	0.7728	12.82	0.8321	7.69	0.7107	10.26	0.778	10.26	0.761	10.26	0.9207	15.38	0.9173	12.82	0.8078	12.82
87%	0.7405	13.89	0.8008	16.67	0.7805	13.89	0.8363	8.33	0.7144	11.11	0.78	11.11	0.7646	11.11	0.9213	16.67	0.9207	13.89	0.8092	13.89
88%	0.7576	14.71	0.8091	17.14	0.7896	14.71	0.8399	8.82	0.7211	11.76	0.7813	11.76	0.7727	9.09	0.9229	17.65	0.924	14.71	0.8137	14.71
89%	0.7602	16.13	0.8143	16.13	0.7982	16.13	0.8421	9.68	0.7248	12.9	0.7827	12.9	0.7798	9.68	0.9261	19.35	0.9349	16.13	0.8165	16.13
90%	0.7661	14.29	0.8265	17.86	0.8102	17.86	0.8442	10.71	0.733	14.29	0.7839	10.71	0.7818	10.71	0.9314	21.43	0.9409	17.86	0.8189	14.29
91%	0.7749	16.0	0.8368	20.0	0.8204	20.0	0.8503	12.0	0.7439	16.0	0.7848	12.0	0.7833	12.0	0.9324	20.0	0.9439	20.0	0.8202	16.0
92%	0.7838	13.04	0.8405	21.74	0.8249	21.74	0.8621	13.04	0.7651	18.18	0.7878	13.64	0.7855	13.64	0.937	22.73	0.952	21.74	0.8233	18.18
93%	0.7895	10.0	0.8478	20.0	0.8307	20.0	0.8708	15.0	0.7941	20.0	0.7916	15.0	0.7886	15.0	0.9417	20.0	0.9589	25.0	0.8245	20.0
94%	0.799	11.76	0.8692	23.53	0.8511	11.76	0.879	17.65	0.8344	23.53	0.7926	11.76	0.7984	17.65	0.9469	23.53	0.9651	23.53	0.8346	23.53
95%	0.8262	14.29	0.8799	28.57	0.8622	14.29	0.885	21.43	0.8382	28.57	0.794	13.33	0.8099	21.43	0.9574	14.29	0.9726	28.57	0.8493	14.29
96%	0.8337	18.18	0.8933	27.27	0.8712	18.18	0.8915	27.27	0.85	27.27	0.797	16.67	0.8122	27.27	0.9661	16.67	0.9789	33.33	0.854	18.18
97%	0.8673	22.22	0.924	22.22	0.888	22.22	0.8981	33.33	0.8635	33.33	0.7988	11.11	0.8211	22.22	0.9696	22.22	0.9868	44.44	0.8577	22.22
98%	0.8865	33.33	0.9326	33.33	0.9088	33.33	0.9215	33.33	0.9152	33.33	0.8	16.67	0.8374	16.67	0.9742	16.67	0.9904	66.67	0.8641	33.33
max	0.9919	-1.0	0.9996	-1.0	0.9979	-1.0	0.9521	-1.0	0.9989	-1.0	0.8079	-1.0	0.9308	-1.0	0.9951	-1.0	0.9998	-1.0	0.912	-1.0
