	TFm_UBER_pos_low1_mult_28	TFm_UBER_pos_low1_mult_28_per	TFm_UBER_pos_low1_mult_64	TFm_UBER_pos_low1_mult_64_per	TFm_UBER_pos_low1_mult_128	TFm_UBER_pos_low1_mult_128_per	r_TFm_UBER_pos_low1_mult_conv2	TFm_UBER_pos_low1_mult_conv	TFm_UBER_pos_low1_mult_conv_per	TFm_UBER_pos_low1__simp_cordo	TFm_UBER_pos_low1__simp_cordo_per	TFm_UBER_pos_low1_mult_linear	TFm_UBER_pos_low1_mult_linear_per	r_TFm_UBER_pos_low1_mult_dense2	TFm_UBER_pos_low1_mult_lstm	TFm_UBER_pos_low1_mult_lstm_per	TFm_UBER_pos_low1__mult_gru	TFm_UBER_pos_low1__mult_gru_per
acc_per	88.80	-1.0	92.28	-1.0	94.54	-1.0	-1	92.35	-1.0	79.64	-1.0	77.25	-1.0	-1	96.65	-1.0	95.63	-1.0
loss	0.28	-1.0	0.20	-1.0	0.15	-1.0	-1	0.19	-1.0	0.43	-1.0	0.48	-1.0	-1	0.10	-1.0	0.13	-1.0
epochs	16	-1.0	12	-1.0	9	-1.0	-1	8	-1.0	13	-1.0	13	-1.0	-1	13	-1.0	15	-1.0
df_test_%	28.2	-1.0	28.2	-1.0	29.2	-1.0	-1	29.0	-1.0	26.8	-1.0	27.0	-1.0	-1	22.5	-1.0	38.5	-1.0
positives	18	-1.0	18	-1.0	18	-1.0	-1	18	-1.0	18	-1.0	18	-1.0	-1	18	-1.0	18	-1.0
count	265.0	-1.0	265.0	-1.0	265.0	-1.0	-1	265.0	-1.0	265.0	-1.0	265.0	-1.0	-1	265.0	-1.0	265.0	-1.0
mean	0.4638	-1.0	0.461	-1.0	0.5103	-1.0	-1	0.8744	-1.0	0.5192	-1.0	0.7542	-1.0	-1	0.3127	-1.0	0.4795	-1.0
std	0.2514	-1.0	0.2827	-1.0	0.2568	-1.0	-1	0.0554	-1.0	0.2576	-1.0	0.2183	-1.0	-1	0.3802	-1.0	0.4056	-1.0
min	0.0212	-1.0	0.0183	-1.0	0.0386	-1.0	-1	0.7127	-1.0	0.029	-1.0	0.0664	-1.0	-1	0.0	-1.0	0.002	-1.0
25%	0.259	8.04	0.213	9.05	0.2856	7.54	-1	0.8449	8.59	0.2699	8.54	0.6511	8.59	-1	0.0009	8.59	0.0434	8.04
50%	0.4253	11.28	0.4396	10.53	0.489	9.09	-1	0.8758	9.85	0.6589	9.77	0.8164	9.85	-1	0.0509	10.61	0.4216	9.77
60%	0.5173	13.21	0.5264	12.26	0.5902	10.38	-1	0.8888	11.32	0.6907	11.32	0.8661	12.26	-1	0.2655	11.32	0.733	12.26
70%	0.6049	15.0	0.6408	13.75	0.6822	13.92	-1	0.904	11.25	0.7264	13.75	0.9016	15.0	-1	0.6008	12.5	0.8863	16.25
75%	0.636	16.67	0.7055	16.42	0.715	15.15	-1	0.9097	12.12	0.7364	16.92	0.9164	16.67	-1	0.7136	13.64	0.918	18.18
80%	0.7102	20.75	0.7473	18.87	0.7629	18.87	-1	0.9205	15.09	0.7417	16.98	0.9377	16.98	-1	0.8004	16.98	0.953	22.64
85%	0.7702	25.0	0.8256	17.5	0.8188	20.0	-1	0.931	20.0	0.7465	19.51	0.9519	22.5	-1	0.875	17.5	0.97	30.0
86%	0.7839	27.03	0.8308	18.92	0.8299	21.62	-1	0.9334	21.62	0.747	21.62	0.9551	21.62	-1	0.8866	16.22	0.9734	31.58
87%	0.7991	28.57	0.8355	20.0	0.8496	22.86	-1	0.9359	23.53	0.7481	22.86	0.9562	23.53	-1	0.9039	17.14	0.9751	34.29
88%	0.8213	25.0	0.8385	21.88	0.8644	25.0	-1	0.9385	25.0	0.7494	24.24	0.9603	25.0	-1	0.9193	18.75	0.9769	34.38
89%	0.8312	26.67	0.8482	23.33	0.8757	26.67	-1	0.9401	26.67	0.751	26.67	0.964	23.33	-1	0.9255	20.0	0.9784	36.67
90%	0.8356	29.63	0.8655	25.93	0.8772	25.93	-1	0.944	29.63	0.752	25.93	0.9666	25.93	-1	0.9291	22.22	0.9811	37.04
91%	0.8505	29.17	0.8832	29.17	0.888	29.17	-1	0.9472	29.17	0.753	29.17	0.9709	29.17	-1	0.9413	25.0	0.9842	40.0
92%	0.859	27.27	0.8892	31.82	0.8915	31.82	-1	0.9509	31.82	0.7538	28.57	0.9742	27.27	-1	0.9514	22.73	0.9848	40.91
93%	0.8686	31.58	0.9016	36.84	0.8985	36.84	-1	0.9526	31.58	0.7546	26.32	0.9773	31.58	-1	0.9666	26.32	0.9861	42.11
94%	0.8849	37.5	0.9124	43.75	0.9031	37.5	-1	0.9543	37.5	0.755	31.25	0.98	37.5	-1	0.9681	31.25	0.9888	43.75
95%	0.9172	42.86	0.9441	42.86	0.926	35.71	-1	0.9562	42.86	0.7554	35.71	0.981	35.71	-1	0.9706	21.43	0.9896	40.0
96%	0.941	45.45	0.9542	45.45	0.9319	36.36	-1	0.9597	54.55	0.7567	45.45	0.9847	36.36	-1	0.9816	27.27	0.9899	36.36
97%	0.955	62.5	0.9653	50.0	0.9422	37.5	-1	0.9717	50.0	0.7585	37.5	0.9899	50.0	-1	0.9844	37.5	0.9916	37.5
98%	0.9614	50.0	0.9747	50.0	0.9587	50.0	-1	0.9784	66.67	0.7609	33.33	0.9944	50.0	-1	0.9868	33.33	0.9948	33.33
max	0.9999	-1.0	1.0	-1.0	0.9996	-1.0	-1	0.9968	-1.0	0.7635	-1.0	0.9989	-1.0	-1	0.9997	-1.0	0.9983	-1.0
