	TFm_UBER_pos_reg4_mult_28	TFm_UBER_pos_reg4_mult_28_per	TFm_UBER_pos_reg4_mult_64	TFm_UBER_pos_reg4_mult_64_per	TFm_UBER_pos_reg4_mult_128	TFm_UBER_pos_reg4_mult_128_per	TFm_UBER_pos_reg4_mult_conv2	TFm_UBER_pos_reg4_mult_conv2_per	TFm_UBER_pos_reg4_mult_conv	TFm_UBER_pos_reg4_mult_conv_per	TFm_UBER_pos_reg4__simp_cordo	TFm_UBER_pos_reg4__simp_cordo_per	TFm_UBER_pos_reg4_mult_linear	TFm_UBER_pos_reg4_mult_linear_per	r_TFm_UBER_pos_reg4_mult_dense2	TFm_UBER_pos_reg4_mult_lstm	TFm_UBER_pos_reg4_mult_lstm_per	TFm_UBER_pos_reg4__mult_gru	TFm_UBER_pos_reg4__mult_gru_per
acc_per	82.96	-1.0	88.38	-1.0	90.86	-1.0	79.31	-1.0	95.37	-1.0	76.37	-1.0	75.00	-1.0	-1	91.97	-1.0	88.77	-1.0
loss	0.39	-1.0	0.29	-1.0	0.24	-1.0	0.44	-1.0	0.16	-1.0	0.51	-1.0	0.53	-1.0	-1	0.20	-1.0	0.28	-1.0
epochs	18	-1.0	14	-1.0	9	-1.0	8	-1.0	18	-1.0	22	-1.0	30	-1.0	-1	13	-1.0	9	-1.0
df_test_%	33.3	-1.0	30.9	-1.0	32.4	-1.0	32.6	-1.0	28.5	-1.0	33.2	-1.0	25.1	-1.0	-1	25.0	-1.0	24.7	-1.0
positives	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	-1	19	-1.0	19	-1.0
count	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0	276.0	-1.0	-1	276.0	-1.0	276.0	-1.0
mean	0.5385	-1.0	0.5457	-1.0	0.6116	-1.0	0.6904	-1.0	0.7951	-1.0	0.6731	-1.0	0.7954	-1.0	-1	0.4563	-1.0	0.7097	-1.0
std	0.2167	-1.0	0.2465	-1.0	0.1892	-1.0	0.0161	-1.0	0.2586	-1.0	0.2792	-1.0	0.1998	-1.0	-1	0.3348	-1.0	0.1573	-1.0
min	0.0778	-1.0	0.0245	-1.0	0.1754	-1.0	0.6553	-1.0	0.0079	-1.0	0.1247	-1.0	0.0001	-1.0	-1	0.0	-1.0	0.2411	-1.0
25%	0.3764	8.7	0.349	8.7	0.4984	8.21	0.6799	8.7	0.6798	8.7	0.5715	8.7	0.7343	7.73	-1	0.0633	8.7	0.608	8.7
50%	0.5308	10.87	0.556	11.59	0.6194	11.59	0.6893	10.87	0.9136	11.59	0.8133	10.14	0.8569	8.76	-1	0.5352	12.32	0.7397	10.14
