	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_neg_vgood16_mult_28	73.26	0.54	24.0	13.2	14.0	278.0	0.4589	0.1835	0.1241	0.3249	0.4074	0.4573	0.5278	0.5888	0.619	0.6682	0.675	0.6826	0.6923	0.7014	0.7237	0.7285	0.7425	0.758	0.7983	0.8573	0.886	0.9	0.9315	0.9863
TFm_UBER_neg_vgood16_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.81	6.47	8.11	9.52	8.57	8.93	9.52	10.26	10.81	11.76	12.9	14.29	12.0	13.04	15.0	11.76	7.14	8.33	11.11	16.67	-1.0
TFm_UBER_neg_vgood16_mult_128	82.17	0.41	11.0	11.7	14.0	278.0	0.5077	0.1868	0.1416	0.3668	0.4592	0.5237	0.5969	0.6326	0.6719	0.703	0.7225	0.7562	0.7713	0.7785	0.7831	0.7953	0.8092	0.8379	0.8696	0.8903	0.903	0.9199	0.9391	0.9917
TFm_UBER_neg_vgood16_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.25	6.47	8.11	5.95	7.14	7.14	9.52	10.26	10.81	11.76	12.9	10.71	12.0	13.04	10.0	11.76	7.14	8.33	11.11	16.67	-1.0
TFm_UBER_neg_vgood16__simp_cordo	61.11	0.66	10.0	10.8	14.0	278.0	0.5311	0.0663	0.4127	0.4837	0.5105	0.5296	0.5435	0.5515	0.5622	0.6359	0.6382	0.6425	0.6449	0.6472	0.6492	0.6509	0.6524	0.6542	0.6571	0.6632	0.671	0.6728	0.6832	0.7253
TFm_UBER_neg_vgood16__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.29	5.76	7.21	8.24	8.57	10.71	11.9	12.82	13.89	14.71	12.9	10.71	8.0	8.7	10.0	11.76	14.29	16.67	11.11	16.67	-1.0
TFm_UBER_neg_vgood16_mult_linear	62.21	0.65	12.0	13.7	14.0	278.0	0.5164	0.108	0.3451	0.4404	0.4747	0.4917	0.5304	0.5562	0.5977	0.6747	0.6786	0.6806	0.6838	0.6888	0.6956	0.6981	0.7048	0.7111	0.7154	0.7182	0.7313	0.7508	0.7895	0.9211
TFm_UBER_neg_vgood16_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.77	6.47	8.11	9.52	10.0	10.71	14.29	12.82	13.51	14.71	12.9	14.29	12.0	13.04	15.0	17.65	14.29	16.67	22.22	16.67	-1.0
TFm_UBER_neg_vgood16_mult_dense2	70.16	0.58	13.0	12.0	14.0	278.0	0.5387	0.1323	0.2559	0.4465	0.4853	0.512	0.5562	0.5962	0.6474	0.7363	0.7397	0.7484	0.755	0.764	0.7699	0.7706	0.7741	0.7757	0.7826	0.7923	0.8035	0.8171	0.857	0.9463
TFm_UBER_neg_vgood16_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.29	6.47	7.21	8.33	8.57	10.71	14.29	15.38	16.22	14.71	12.9	13.79	12.0	8.7	10.0	11.76	14.29	16.67	22.22	33.33	-1.0
TFm_UBER_neg_vgood16_mult_lstm	84.82	0.34	17.0	22.0	14.0	278.0	0.5864	0.2335	0.0024	0.4663	0.6046	0.6521	0.7172	0.7474	0.7792	0.842	0.8474	0.8656	0.8761	0.8854	0.8897	0.895	0.9108	0.925	0.9328	0.9404	0.9511	0.9584	0.9649	0.9943
TFm_UBER_neg_vgood16_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.25	7.25	8.11	10.71	12.86	12.5	16.67	17.95	18.92	20.59	19.35	21.43	24.0	21.74	25.0	29.41	28.57	33.33	44.44	33.33	-1.0
TFm_UBER_neg_vgood16__mult_gru	70.16	0.55	8.0	7.7	14.0	278.0	0.6018	0.0804	0.5032	0.5469	0.5794	0.5874	0.5983	0.6038	0.6154	0.7474	0.7499	0.7546	0.7563	0.7575	0.7587	0.7605	0.764	0.7669	0.7693	0.7709	0.7724	0.7759	0.7852	0.8146
TFm_UBER_neg_vgood16__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.29	5.76	6.31	7.14	8.7	10.71	11.9	10.26	8.33	5.88	6.25	7.14	8.0	8.7	10.0	11.76	7.14	8.33	11.11	16.67	-1.0
TFm_UBER_neg_good9_mult_28	82.3	0.44	8.0	9.0	13.0	270.0	0.4797	0.1124	0.2206	0.4031	0.4881	0.517	0.5537	0.5635	0.5753	0.5899	0.5932	0.5958	0.6017	0.6062	0.6083	0.6208	0.6359	0.6452	0.6541	0.6672	0.6704	0.6769	0.6836	0.723
TFm_UBER_neg_good9_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.94	5.93	4.63	3.7	4.41	5.56	7.32	7.89	8.33	9.09	10.0	7.41	8.0	9.09	10.53	11.76	14.29	9.09	11.11	16.67	-1.0
TFm_UBER_neg_good9_mult_64	88.77	0.29	12.0	13.7	13.0	270.0	0.5389	0.1888	0.0855	0.396	0.5379	0.606	0.6652	0.6857	0.723	0.7539	0.7597	0.7678	0.7701	0.7809	0.7893	0.797	0.7988	0.8078	0.8172	0.8217	0.8291	0.8513	0.863	0.9208
TFm_UBER_neg_good9_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.95	5.19	5.56	6.17	7.35	9.26	9.76	10.53	11.43	12.12	13.33	14.81	12.5	13.64	15.79	17.65	21.43	27.27	33.33	50.0	-1.0
TFm_UBER_neg_good9_mult_128	93.73	0.18	9.0	19.0	13.0	270.0	0.5121	0.2082	0.1181	0.3304	0.526	0.5924	0.6506	0.6697	0.7106	0.7419	0.7448	0.7468	0.754	0.7663	0.7791	0.7859	0.7926	0.8189	0.8339	0.8447	0.8519	0.8665	0.901	0.9606
TFm_UBER_neg_good9_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.44	8.89	7.41	8.64	10.29	12.96	14.63	13.16	14.29	15.15	16.67	18.52	20.0	22.73	21.05	23.53	21.43	18.18	22.22	33.33	-1.0
TFm_UBER_neg_good9_mult_conv2	96.04	0.1	14.0	15.1	13.0	270.0	0.5574	0.3096	0.007	0.2733	0.6477	0.723	0.7978	0.8226	0.8537	0.8815	0.8949	0.9006	0.9067	0.914	0.9238	0.9295	0.9317	0.9353	0.9477	0.9527	0.958	0.965	0.9777	0.998
TFm_UBER_neg_good9_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.44	8.15	9.26	12.35	13.24	14.81	19.51	18.42	19.44	21.21	16.67	11.11	12.0	13.64	15.79	17.65	21.43	27.27	33.33	33.33	-1.0
