Date	Open	High	Low	Close	Volume
2023-05-04 04:00:00	37.82	37.82	37.82	37.82	563
2023-05-04 04:45:00	37.72	37.73	37.66	37.66	3546
2023-05-04 05:30:00	37.7	37.7	37.69	37.69	660
2023-05-04 05:45:00	37.67	37.67	37.67	37.67	1252
2023-05-04 06:00:00	37.67	37.67	37.65	37.65	1416
2023-05-04 06:15:00	37.65	37.65	37.65	37.65	765
2023-05-04 06:45:00	37.65	37.66	37.65	37.66	470
2023-05-04 07:00:00	37.68	37.73	37.65	37.73	15100
2023-05-04 07:30:00	37.69	37.69	37.65	37.65	4859
2023-05-04 07:45:00	37.7	37.7	37.65	37.65	16916
2023-05-04 08:00:00	37.68	37.75	37.41	37.5	100496
2023-05-04 08:15:00	37.51	37.55	37.46	37.51	21874
2023-05-04 08:30:00	37.55	37.65	37.5	37.64	40267
2023-05-04 08:45:00	37.62	37.68	37.52	37.52	11971
2023-05-04 09:00:00	37.52	37.67	37.45	37.5509	49532
2023-05-04 09:15:00	37.55	37.6	37.3	37.45	51100
2023-05-04 09:30:00	37.48	37.65	37.06	37.085	4102916
2023-05-04 09:45:00	37.09	37.445	36.87	37.26	3180729
2023-05-04 10:00:00	37.265	37.69	37.16	37.2538	2696033
2023-05-04 10:15:00	37.25	37.37	36.92	36.945	2276537
2023-05-04 10:30:00	36.94	37.105	36.765	36.79	1851059
2023-05-04 10:45:00	36.8	37.25	36.78	36.99	2166861
2023-05-04 11:00:00	36.98	37.31	36.93	37.2875	1358716
2023-05-04 11:15:00	37.285	37.34	37.12	37.12	903827
2023-05-04 11:30:00	37.125	37.3	37.05	37.201	840165
2023-05-04 11:45:00	37.18	37.2301	36.9492	36.9492	918537
2023-05-04 12:00:00	36.94	37.0067	36.685	36.77	1374816
2023-05-04 12:15:00	36.775	37.15	36.77	37.085	1497273
2023-05-04 12:30:00	37.075	37.45	36.96	37.375	1490900
2023-05-04 12:45:00	37.375	37.5	37.365	37.435	1240537
2023-05-04 13:00:00	37.44	37.51	37.36	37.445	1265568
2023-05-04 13:15:00	37.44	37.535	37.291	37.375	1124671
2023-05-04 13:30:00	37.375	37.52	37.355	37.445	715601
2023-05-04 13:45:00	37.445	37.6	37.375	37.59	1061283
2023-05-04 14:00:00	37.595	37.77	37.565	37.64	1571699
2023-05-04 14:15:00	37.635	37.645	37.46	37.605	1484688
2023-05-04 14:30:00	37.6	37.79	37.49	37.75	1542379
2023-05-04 14:45:00	37.745	37.8	37.55	37.5591	1184370
2023-05-04 15:00:00	37.55	37.63	37.47	37.485	957073
2023-05-04 15:15:00	37.48	37.7	37.465	37.645	1237758
2023-05-04 15:30:00	37.645	37.77	37.57	37.5865	1758897
2023-05-04 15:45:00	37.58	37.62	37.47	37.495	2504351
2023-05-04 16:00:00	37.49	37.62	37.1	37.5	204058
2023-05-04 16:15:00	37.51	37.59	37.4	37.4001	18253
2023-05-04 16:30:00	37.43	37.5	37.35	37.38	113483
2023-05-04 16:45:00	37.38	37.43	37.3	37.43	57116
2023-05-04 17:00:00	37.4	37.44	37.39	37.42	6574
2023-05-04 17:15:00	37.39	37.43	37.39	37.39	5791
2023-05-04 17:30:00	37.35	37.5	37.32	37.48	1903
2023-05-04 17:45:00	37.47	37.5	37.4	37.4	562
2023-05-04 18:00:00	37.3999	37.4	37.2	37.2	6077
2023-05-04 18:15:00	37.36	37.36	37.25	37.2501	3921
2023-05-04 18:30:00	37.3	37.4	37.3	37.39	3037
2023-05-04 18:45:00	37.31	37.31	37.31	37.31	238
2023-05-04 19:00:00	37.4	37.4	37.34	37.38	1212
2023-05-04 19:15:00	37.39	37.39	37.39	37.39	353
2023-05-04 19:30:00	37.39	37.45	37.36	37.36	2639
2023-05-04 19:45:00	37.45	37.5	37.36	37.36	2783
2023-05-05 04:00:00	37.5	37.5	37.5	37.5	100
2023-05-05 04:15:00	37.5	37.5	37.5	37.5	230
2023-05-05 05:30:00	37.48	37.48	37.48	37.48	226
2023-05-05 05:45:00	37.38	37.38	37.38	37.38	100
2023-05-05 06:00:00	37.44	37.44	37.44	37.44	800
2023-05-05 06:15:00	37.44	37.44	37.44	37.44	169
2023-05-05 06:30:00	37.45	37.45	37.36	37.36	3588
2023-05-05 07:00:00	37.42	37.42	37.36	37.41	1968
2023-05-05 07:30:00	37.36	37.4	37.3	37.4	9712
2023-05-05 07:45:00	37.39	37.39	37.38	37.38	277
2023-05-05 08:00:00	37.44	37.49	37.3	37.4	10799
2023-05-05 08:15:00	37.45	37.45	37.42	37.42	4351
2023-05-05 08:30:00	37.43	37.45	37.31	37.39	20969
2023-05-05 08:45:00	37.4	37.679	37.4	37.52	43863
2023-05-05 09:00:00	37.53	37.59	37.4	37.5	22339
2023-05-05 09:15:00	37.42	37.59	37.31	37.45	16448
2023-05-05 09:30:00	37.48	37.51	36.87	37.49	2794668
2023-05-05 09:45:00	37.495	37.66	37.325	37.59	1437886
2023-05-05 10:00:00	37.59	37.88	37.4944	37.61	1450808
2023-05-05 10:15:00	37.6	37.75	37.44	37.52	1052634
2023-05-05 10:30:00	37.53	37.63	37.44	37.5195	764586
2023-05-05 10:45:00	37.52	37.56	37.16	37.26	884135
2023-05-05 11:00:00	37.26	37.38	37.14	37.32	831493
2023-05-05 11:15:00	37.3283	37.49	37.295	37.485	713981
2023-05-05 11:30:00	37.485	37.515	37.3425	37.45	507237
2023-05-05 11:45:00	37.45	37.49	37.35	37.37	413938
2023-05-05 12:00:00	37.365	37.43	37.2	37.225	529525
2023-05-05 12:15:00	37.225	37.43	37.225	37.34	508728
2023-05-05 12:30:00	37.345	37.41	37.305	37.325	498742
2023-05-05 12:45:00	37.32	37.46	37.29	37.446	509739
2023-05-05 13:00:00	37.45	37.495	37.385	37.4899	507974
2023-05-05 13:15:00	37.483	37.61	37.45	37.605	678583
2023-05-05 13:30:00	37.605	37.68	37.5202	37.595	825866
2023-05-05 13:45:00	37.595	37.79	37.58	37.785	674614
2023-05-05 14:00:00	37.785	37.8	37.7	37.7096	512186
2023-05-05 14:15:00	37.71	37.78	37.65	37.745	532724
2023-05-05 14:30:00	37.7484	37.8	37.675	37.73	622255
2023-05-05 14:45:00	37.735	37.8	37.71	37.77	693654
2023-05-05 15:00:00	37.765	37.91	37.74	37.905	808276
2023-05-05 15:15:00	37.905	37.95	37.825	37.825	1092491
2023-05-05 15:30:00	37.825	37.89	37.8	37.825	1097976
2023-05-05 15:45:00	37.825	37.845	37.71	37.77	2254329
2023-05-05 16:00:00	37.75	37.77	37.7	37.7	238838
2023-05-05 16:15:00	37.7	37.72	37.7	37.72	1290
2023-05-05 16:30:00	37.72	37.75	37.72	37.75	7098
2023-05-05 16:45:00	37.74	37.7405	37.74	37.7405	200
2023-05-05 17:00:00	37.75	37.75	37.74	37.74	316
2023-05-05 17:15:00	37.74	37.75	37.58	37.58	8122
2023-05-05 17:30:00	37.71	37.71	37.55	37.55	1104
2023-05-05 17:45:00	37.71	37.71	37.5924	37.5924	620
2023-05-05 18:00:00	37.74	37.74	37.7397	37.74	1419
2023-05-05 18:15:00	37.74	37.74	37.74	37.74	100
2023-05-05 18:30:00	37.6109	37.65	37.6	37.65	542
