Column,Data_Type
Open,float64
buy_sell_point,int64
High,float64
Low,float64
Close,float64
Volume,int64
Date,object
per_Close,float64
per_Volume,float64
has_preMarket,bool
per_preMarket,float64
olap_BBAND_UPPER,float64
olap_BBAND_MIDDLE,float64
olap_BBAND_LOWER,float64
olap_BBAND_UPPER_crash,int64
olap_BBAND_LOWER_crash,int64
olap_BBAND_dif,float64
olap_HT_TRENDLINE,float64
olap_MIDPOINT,float64
olap_MIDPRICE,float64
olap_SAR,float64
olap_SAREXT,float64
mtum_ADX,float64
mtum_ADXR,float64
mtum_APO,float64
mtum_AROON_down,float64
mtum_AROON_up,float64
mtum_AROONOSC,float64
mtum_BOP,float64
mtum_CCI,float64
mtum_CMO,float64
mtum_DX,float64
mtum_MACD,float64
mtum_MACD_signal,float64
mtum_MACD_list,float64
mtum_MACD_crash,int64
mtum_MACD_ext,float64
mtum_MACD_ext_signal,float64
mtum_MACD_ext_list,float64
mtum_MACD_ext_crash,int64
mtum_MACD_fix,float64
mtum_MACD_fix_signal,float64
mtum_MACD_fix_list,float64
mtum_MACD_fix_crash,int64
mtum_MFI,float64
mtum_MINUS_DI,float64
mtum_MINUS_DM,float64
mtum_MOM,float64
mtum_PLUS_DI,float64
mtum_PLUS_DM,float64
mtum_PPO,float64
mtum_ROC,float64
mtum_ROCP,float64
mtum_ROCR,float64
mtum_ROCR100,float64
mtum_RSI,float64
mtum_STOCH_k,float64
mtum_STOCH_d,float64
mtum_STOCH_kd,float64
mtum_STOCH_crash,int64
mtum_STOCH_Fa_k,float64
mtum_STOCH_Fa_d,float64
mtum_STOCH_Fa_kd,float64
mtum_STOCH_Fa_crash,int64
mtum_STOCH_RSI_k,float64
mtum_STOCH_RSI_d,float64
mtum_STOCH_RSI_kd,float64
mtum_STOCH_RSI_crash,int64
mtum_ULTOSC,float64
mtum_WILLIAMS_R,float64
volu_Chaikin_AD,float64
volu_Chaikin_ADOSC,float64
volu_OBV,float64
vola_ATR,float64
vola_NATR,float64
vola_TRANGE,float64
cycl_DCPERIOD,float64
cycl_DCPHASE,float64
cycl_PHASOR_inph,float64
cycl_PHASOR_quad,float64
cycl_SINE_sine,float64
cycl_SINE_lead,float64
